alteration_type	gene_Exist.cluster	gene_notExist.cluster	gene_Exist.other	gene_notExist.other	pval	effect_size	power	qval
CCND1_cna_gain	2	1	4	94	0.000523819424467039	0.449476230437306	0.994724319634047	0.0222623255398492
PRKDC_cna_gain	2	1	8	90	0.00911999881987984	0.332532490918757	0.916505945214522	0.258399966563262
ets_none	3	0	37	61	0.0579520059623339	0.216064049460774	0.583751064852222	0.524691358024692
MYC_cna_gain	2	1	16	82	0.0696392704728465	0.223312354946721	0.611921862461215	0.524691358024692
AKT1_mutation	1	2	2	96	0.078007119415514	0.312925170068027	0.881970693822321	0.524691358024692
BRIP1_cna_gain	1	2	2	96	0.078007119415514	0.312925170068027	0.881970693822321	0.524691358024692
HRAS_mutation	1	2	2	96	0.078007119415514	0.312925170068027	0.881970693822321	0.524691358024692
TAF1L_cna_gain	1	2	2	96	0.078007119415514	0.312925170068027	0.881970693822321	0.524691358024692
CHD6_mutation	1	2	3	95	0.125980958259697	0.263512049406362	0.754369880903029	0.524691358024692
CHD3_mutation	1	2	4	94	0.171127732327707	0.228930769124978	0.63336872381056	0.524691358024692
BAG4_cna_gain	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.524691358024692
PRKDC_mutation	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.524691358024692
RPRD2_cna_gain	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.524691358024692
SETDB1_cna_gain	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.524691358024692
SPOP_mutation	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.524691358024692
NBN_cna_gain	1	2	14	84	0.464241265948432	0.0909325785960631	0.149784435326229	0.524691358024692
APC_mutation	0	3	10	88	0.5	0.057999853067225	0.0897424275964702	0.524691358024692
AR_mutation	0	3	11	87	0.5	0.0611677741841197	0.0942910657059872	0.524691358024692
AREnhancer_cna_gain	1	2	40	58	0.5	0.0258691084836797	0.0577783336539037	0.524691358024692
ARID1A_mutation	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
ASXL2_mutation	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
ATM_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
ATR_mutation	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
BRCA2_mutation	0	3	9	89	0.5	0.0547236341202053	0.0853078570743376	0.524691358024692
CDKN1B_mutation	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
CDKN2A_cna_del	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
CHD1_cna_del	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
CHD7_cna_gain	0	3	8	90	0.5	0.0513158005790785	0.0809839239085365	0.524691358024692
chromothripsis	1	2	32	66	0.5	0.00246232233330962	0.0500701496969396	0.524691358024692
CNOT3_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
COL15A1_cna_gain	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
CTNNB1_mutation	0	3	7	91	0.5	0.0477455260559423	0.0767673128817054	0.524691358024692
ERF_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
etv1_all	0	3	11	87	0.5	0.0611677741841197	0.0942910657059872	0.524691358024692
etv4_all	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
etv5_all	0	3	1	97	0.5	0.0174963553055941	0.0535493035362006	0.524691358024692
FOXA1_mutation	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
IDH1_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
IL6ST_cna_del	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
IL6ST_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
JAK1_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
KDM6A_cna_gain	0	3	6	92	0.5	0.0439705008036495	0.0726548199543504	0.524691358024692
KDM6A_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
KMT2C_mutation	0	3	14	84	0.5	0.0701862406343596	0.108657495883305	0.524691358024692
KMT2D_mutation	0	3	6	92	0.5	0.0439705008036495	0.0726548199543504	0.524691358024692
LSAMP_mutation	0	3	12	86	0.5	0.0642455733425024	0.0989573205660963	0.524691358024692
MAP3K1_cna_del	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
MED12_cna_gain	0	3	9	89	0.5	0.0547236341202053	0.0853078570743376	0.524691358024692
MGA_mutation	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
MIRLET7BHG_mutation	0	3	10	88	0.5	0.057999853067225	0.0897424275964702	0.524691358024692
MSH2_mutation	0	3	9	89	0.5	0.0547236341202053	0.0853078570743376	0.524691358024692
MSH6_mutation	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
NBN_mutation	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
NCOR1_mutation	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
NDST2_cna_gain	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
PIK3CA_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
PIK3CB_cna_gain	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
PIK3R1_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
PPL_mutation	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
PTEN_mutation	0	3	9	89	0.5	0.0547236341202053	0.0853078570743376	0.524691358024692
PTPRC_mutation	0	3	3	95	0.5	0.0306122448979592	0.0609115989910491	0.524691358024692
PTPRD_mutation	0	3	4	94	0.5	0.0355297145267005	0.0647299057358293	0.524691358024692
RAG1_mutation	0	3	5	93	0.5	0.0399297853124962	0.068643348517182	0.524691358024692
