alteration_type	gene_Exist.cluster	gene_notExist.cluster	gene_Exist.other	gene_notExist.other	pval	effect_size	power	qval
ARID1A_mutation	3	12	2	84	0.0116963803971949	0.289747283631949	0.829441963514588	0.331397444587189
NBN_mutation	3	12	2	84	0.0116963803971949	0.289747283631949	0.829441963514588	0.331397444587189
NCOR1_mutation	3	12	2	84	0.0116963803971949	0.289747283631949	0.829441963514588	0.331397444587189
ERF_mutation	2	13	1	85	0.0411082267620758	0.254935979278248	0.726452902145327	0.499171324968064
IDH1_mutation	2	13	1	85	0.0411082267620758	0.254935979278248	0.726452902145327	0.499171324968064
PIK3R1_mutation	2	13	1	85	0.0411082267620758	0.254935979278248	0.726452902145327	0.499171324968064
PTPRC_mutation	2	13	1	85	0.0411082267620758	0.254935979278248	0.726452902145327	0.499171324968064
chromoplexy	10	5	37	49	0.0787486445266352	0.168561805839912	0.395272269360083	0.574324324324325
ets_all	12	3	49	37	0.0813076815771942	0.167404327665335	0.390805804677837	0.574324324324325
PTEN_cna_del	5	10	13	73	0.0908347485329818	0.169276904393454	0.398038769996542	0.574324324324325
CDKN1B_mutation	2	13	2	84	0.0968375688097214	0.200713981708919	0.522836588991976	0.574324324324325
etv4_all	2	13	2	84	0.0968375688097214	0.200713981708919	0.522836588991976	0.574324324324325
etv5_all	1	14	0	86	0.160274228572018	0.239443799947573	0.672358081289979	0.574324324324325
FOXA1_mutation	2	13	3	83	0.16427784679612	0.161394320268673	0.36786298329669	0.574324324324325
RAG1_mutation	2	13	3	83	0.16427784679612	0.161394320268673	0.36786298329669	0.574324324324325
erg_all	9	6	37	49	0.174287226529116	0.121224108547186	0.22988243002791	0.574324324324325
AR_mutation	3	12	8	78	0.218244009298243	0.122114330836437	0.232579808603722	0.574324324324325
RSPO2_cna_gain	3	12	8	78	0.218244009298243	0.122114330836437	0.232579808603722	0.574324324324325
ZFHX3_mutation	3	12	8	78	0.218244009298243	0.122114330836437	0.232579808603722	0.574324324324325
TP53_mutation	8	7	35	51	0.264238327838583	0.0908750210954856	0.149654673726272	0.574324324324325
chromothripsis	6	9	27	59	0.36040997607789	0.0652404123534962	0.100517897532777	0.574324324324325
KMT2C_mutation	3	12	11	75	0.36664729913893	0.074193259173086	0.115719770738595	0.574324324324325
NBN_cna_gain	3	12	12	74	0.415179354021106	0.0604651162790698	0.0932599543223318	0.574324324324325
BRCA2_mutation	2	13	7	79	0.436264046816838	0.0648283217879792	0.0998683555759311	0.574324324324325
RB1_mutation	2	13	7	79	0.436264046816838	0.0648283217879792	0.0998683555759311	0.574324324324325
