alteration_type	gene_Exist.cluster	gene_notExist.cluster	gene_Exist.other	gene_notExist.other	pval	effect_size	power	qval
PRKDC_cna_gain	2	3	8	88	0.0613638959911788	0.229986462414145	0.637354832982445	0.531250000000001
RSPO2_cna_gain	2	3	9	87	0.0797349806403715	0.21324512854573	0.572669645503578	0.531250000000001
ATM_mutation	1	4	2	94	0.171127732327707	0.228930769124978	0.63336872381056	0.531250000000001
CDKN2A_cna_del	1	4	2	94	0.171127732327707	0.228930769124978	0.63336872381056	0.531250000000001
NDST2_cna_gain	1	4	2	94	0.171127732327707	0.228930769124978	0.63336872381056	0.531250000000001
SEL1L3_mutation	1	4	2	94	0.171127732327707	0.228930769124978	0.63336872381056	0.531250000000001
STAB2_mutation	1	4	2	94	0.171127732327707	0.228930769124978	0.63336872381056	0.531250000000001
MYC_cna_gain	2	3	16	80	0.232737716684119	0.132258046961865	0.264592350306203	0.531250000000001
SF3B1_mutation	1	4	3	93	0.238768069234766	0.187693199433016	0.470696184447804	0.531250000000001
RAG1_mutation	1	4	4	92	0.296705484758832	0.158333333333333	0.356354865400277	0.531250000000001
ets_none	3	2	37	59	0.312940156056735	0.0951747386354012	0.159587295262533	0.531250000000001
BAG4_cna_gain	1	4	5	91	0.34683730538075	0.135737642540082	0.276092061148303	0.531250000000001
CHD7_cna_gain	1	4	7	89	0.429918930943742	0.102075789714693	0.176536416952682	0.531250000000001
chromoplexy	3	2	44	52	0.436699420698203	0.0616087624550473	0.0949446717204188	0.531250000000001
MIRLET7BHG_mutation	1	4	9	87	0.496966840433313	0.0771665104152723	0.12123194785242	0.531250000000001
PTEN_cna_del	1	4	17	79	0.499999999999999	0.012989629612326	0.0519544588338496	0.531250000000001
AKT1_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
APC_mutation	0	5	10	86	0.5	0.0756534415836003	0.118397839687553	0.531250000000001
AR_cna_gain	2	3	40	56	0.5	0.00733531413559437	0.0506227588960259	0.531250000000001
ARID1A_mutation	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
ASXL2_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
ATR_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
BRCA2_mutation	0	5	9	87	0.5	0.0713800300900201	0.11071761567629	0.531250000000001
BRIP1_cna_gain	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
CCND1_cna_gain	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
CDK12_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
CDKN1B_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
CHD1_cna_del	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
CHD3_mutation	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
CHD6_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
CNOT3_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
COL15A1_cna_gain	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
CTNNB1_mutation	0	5	7	89	0.5	0.0622779744315017	0.0959460945402525	0.531250000000001
ERF_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
erg_all	2	3	44	52	0.5	0.0254083903024219	0.0575025496385844	0.531250000000001
etv4_all	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
etv5_all	0	5	1	95	0.5	0.0228217732293819	0.0560476477960142	0.531250000000001
FOXA1_mutation	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
HRAS_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
IDH1_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
IL6ST_cna_del	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
IL6ST_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
JAK1_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
KDM6A_cna_gain	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
KDM6A_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
KMT2D_mutation	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
LSAMP_mutation	1	4	11	85	0.5	0.0572634634360701	0.0887218622424533	0.531250000000001
MAP3K1_cna_del	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
MED12_cna_gain	0	5	9	87	0.5	0.0713800300900201	0.11071761567629	0.531250000000001
MGA_mutation	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
MSH2_mutation	0	5	9	87	0.5	0.0713800300900201	0.11071761567629	0.531250000000001
MSH6_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
NBN_cna_gain	1	4	14	82	0.5	0.0330413569053977	0.0627248706938105	0.531250000000001
NBN_mutation	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
NCOR1_mutation	0	5	5	91	0.5	0.0520833333333333	0.0819322064342969	0.531250000000001
PIK3CA_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
PIK3CB_cna_gain	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
PIK3R1_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
PPL_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
PRKDC_mutation	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
PTEN_mutation	0	5	9	87	0.5	0.0713800300900201	0.11071761567629	0.531250000000001
PTPRC_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
PTPRD_mutation	0	5	4	92	0.5	0.046343999860004	0.0751991594003389	0.531250000000001
RB1_mutation	0	5	9	87	0.5	0.0713800300900201	0.11071761567629	0.531250000000001
RPRD2_cna_gain	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
SETDB1_cna_gain	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
SPEN_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
SPOP_mutation	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
STAB2_cna_gain	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
TAF1L_cna_gain	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
TAF1L_mutation	0	5	6	90	0.5	0.0573539334676404	0.0888464995400081	0.531250000000001
TBC1D2_cna_gain	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
TP53_mutation	2	3	41	55	0.5	0.0118815885505642	0.0516349265469417	0.531250000000001
USP28_mutation	0	5	3	93	0.5	0.0399297853124962	0.068643348517182	0.531250000000001
ZFHX3_mutation	1	4	10	86	0.5	0.0667297681163508	0.10290212457365	0.531250000000001
