alteration_type	gene_Exist.cluster	gene_notExist.cluster	gene_Exist.other	gene_notExist.other	pval	effect_size	power	qval
PTEN_mutation	2	1	7	91	0.00560708877268832	0.354690221149479	0.945712237190832	0.476602545678507
chromothripsis	3	0	30	68	0.0287652779772046	0.251156877997581	0.713671307121274	0.505952380952381
TAF1L_cna_gain	1	2	2	96	0.078007119415514	0.312925170068027	0.881970693822321	0.505952380952381
ASXL2_mutation	1	2	3	95	0.125980958259697	0.263512049406362	0.754369880903029	0.505952380952381
ATR_mutation	1	2	3	95	0.125980958259697	0.263512049406362	0.754369880903029	0.505952380952381
PTPRD_mutation	1	2	3	95	0.125980958259697	0.263512049406362	0.754369880903029	0.505952380952381
ZNF292_mutation	1	2	3	95	0.125980958259697	0.263512049406362	0.754369880903029	0.505952380952381
BAG4_cna_gain	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.505952380952381
SPOP_mutation	1	2	5	93	0.212472530536776	0.202752864816828	0.530989533496819	0.505952380952381
AREnhancer_cna_gain	2	1	39	59	0.368136103407675	0.092893616827759	0.154257459710755	0.505952380952381
AR_mutation	1	2	10	88	0.372215053253239	0.12604268619758	0.24470231188236	0.505952380952381
RSPO2_cna_gain	1	2	10	88	0.372215053253239	0.12604268619758	0.24470231188236	0.505952380952381
AR_cna_gain	2	1	40	58	0.381994938933157	0.0890408456647365	0.14556515153672	0.505952380952381
TP53_mutation	2	1	41	57	0.395862463027962	0.0852512921591806	0.13739612880258	0.505952380952381
LSAMP_mutation	1	2	11	87	0.39740970686154	0.115998951868407	0.214429515699528	0.505952380952381
erg_all	2	1	44	54	0.437499670511127	0.0742072005421217	0.115745075726353	0.505952380952381
KMT2C_mutation	1	2	13	85	0.443243010383578	0.0985949570816005	0.167833016046945	0.505952380952381
chromoplexy	2	1	45	53	0.451385986537407	0.0706171784235839	0.109396872758811	0.505952380952381
NBN_cna_gain	1	2	14	84	0.464241265948432	0.0909325785960631	0.149784435326229	0.505952380952381
